"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","sig"
"ENSG00000110422.12",2200.26110787528,1.25724648725277,0.0977550649604234,1.25292429717038e-39,9.52285112064349e-36,"HIPK3","Up"
"ENSG00000170017.12",5379.73864624802,1.33518970469659,0.110707575144813,2.07325645227827e-35,6.30311426621641e-32,"ALCAM","Up"
"ENSG00000204371.12",640.943468435139,-1.81112613270332,0.165504188476434,2.71472706660107e-31,3.43888051161691e-28,"EHMT2","Down"
"ENSG00000137076.22",16712.1592616409,1.25747144522838,0.115543802685482,1.98810691477711e-29,2.01474754743513e-26,"TLN1","Up"
"ENSG00000171435.15",250.996693222876,1.30828392321502,0.128971767569463,4.09732752408335e-26,2.96587979493291e-23,"KSR2","Up"
"ENSG00000243646.11",873.579533409514,1.01561206685246,0.10384335803859,4.28505132909239e-25,2.41248389827901e-22,"IL10RB","Up"
"ENSG00000184428.13",618.885059529776,1.00458481553405,0.103314980581519,6.52413410662135e-25,3.54190580552683e-22,"TOP1MT","Up"
"ENSG00000116962.15",25627.1972259161,1.1897006435069,0.121681657304074,1.67447308159697e-24,8.48455510445187e-22,"NID1","Up"
"ENSG00000115107.20",1495.60610754049,1.21681026186019,0.125532355525323,3.95554053067764e-24,1.87900536271346e-21,"STEAP3","Up"
"ENSG00000162946.24",156.439655972639,1.46867931368037,0.15400330412656,6.65148289569433e-24,3.06391489386211e-21,"DISC1","Up"
"ENSG00000134352.21",28098.4632878842,1.18587261528544,0.130445784469582,1.00827529456729e-21,4.033366513873e-19,"IL6ST","Up"
"ENSG00000113272.14",131.273901085218,1.23755620906782,0.175688013672988,1.13470124101245e-14,1.85468748006776e-12,"THG1L","Up"
"ENSG00000202198.1",80.719503273244,23.1829281003455,3.0736122193801,2.7712851486301e-14,4.2986026065639e-12,"7SK","Up"
"ENSG00000262211.1",722.673640493793,1.0837154840927,0.160435304831958,4.41498643561961e-14,6.71122088078537e-12,"ENSG00000262211","Up"
"ENSG00000123989.15",110.263468668624,1.29699244728065,0.204060876922423,8.99707272758211e-13,1.1790043321722e-10,"CHPF","Up"
"ENSG00000058091.17",193.135140644543,1.06430013734903,0.17240743175415,1.52283478646805e-12,1.9290509657584e-10,"CDK14","Up"
"ENSG00000135622.13",239.53119893642,1.00655064716317,0.16580401741045,2.01996202308773e-12,2.51683956663579e-10,"SEMA4F","Up"
"ENSG00000173349.6",110.626422963988,1.22694753874936,0.214013393467776,3.04380742777436e-11,3.08459444730653e-09,"SFT2D3","Up"
"ENSG00000108309.14",19.5988965329742,1.60871686630901,0.321094934263155,2.66776141353026e-10,2.41384769327818e-08,"RUNDC3A","Up"
"ENSG00000172260.15",42.213575504757,1.06391253474237,0.302467339036677,2.66680171760437e-07,1.28692231458108e-05,"NEGR1","Up"
"ENSG00000181634.8",76.0011679710976,1.10675726355915,0.433634707061383,1.9501888203481e-06,7.54321126160598e-05,"TNFSF15","Up"
